Scenario,Attribute,Process,Period,Region,Vintage,Timeslice,Pv
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AL_US_FL,2020,AL,0,-,2.856881
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IA_US_IL,2020,IL,0,-,0.734403293999999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IA_US_IL,2020,IA,0,-,0.734403293999999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_KY_US_OH,2020,OH,0,-,0.26649503353
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_GA_US_TN,2020,TN,0,-,0.7209761966
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_KY_US_OH,2020,KY,0,-,0.26649503353
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_GA_US_TN,2020,GA,0,-,0.7209761966
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_GA_US_SC,2020,SC,0,-,3.1949335629
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_GA_US_SC,2020,GA,0,-,3.1949335629
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_GA_US_NC,2020,NC,0,-,0.04706643701
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_GA_US_NC,2020,GA,0,-,0.04706643701
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_FL_US_GA,2020,GA,0,-,3.088281179
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_FL_US_GA,2020,FL,0,-,3.088281179
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_DE_US_PA,2020,PA,0,-,0.9768799
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_DE_US_PA,2020,DE,0,-,0.9768799
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_DE_US_NJ,2020,NJ,0,-,4.250192812
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_DE_US_NJ,2020,DE,0,-,4.250192812
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_DE_US_MD,2020,MD,0,-,2.749818
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_DE_US_MD,2020,DE,0,-,2.749818
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CT_US_RI,2020,RI,0,-,1.038325
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CT_US_RI,2020,CT,0,-,1.038325
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CT_US_NY,2020,NY,0,-,1.13884479259999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CT_US_NY,2020,CT,0,-,1.13884479259999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CT_US_MA,2020,MA,0,-,1.520605
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CT_US_MA,2020,CT,0,-,1.520605
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CO_US_WY,2020,WY,0,-,3.32
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CO_US_WY,2020,CO,0,-,3.32
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CO_US_UT,2020,UT,0,-,0.2392401216
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CO_US_UT,2020,CO,0,-,0.2392401216
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_CO_US_NM,2020,NM,0,-,0.69
